CUSTOMERCODE,STATENAME,ST,GENDER,DOB,GENDER1,EMAIL,FEST_CNT,TOTAL_AMOUNT,AC_AMOUNT,AV_AMOUNT,HA_AMOUNT,EMI_CE_AMOUNT,IS_HIGHEND,CNT_VIST,GAP_VISIT
1503989,State2,2,Male,0,1,1,0,30300,0,30300,0,0,0,1,0
1190338,State2,2,Male,0,1,0,1,46500,0,46500,0,0,0,1,0
1424715,State2,2,Female,0,2,0,0,22700,0,0,22700,0,0,1,0
2483305,State2,2,Male,0,1,0,1,31400,0,31400,0,0,0,1,0
1178802,State2,2,Male,0,1,0,1,44900,0,0,44900,0,0,1,0
859044,State2,2,Male,0,1,0,0,38300,38300,0,0,0,0,1,0
734198,State2,2,Female,0,2,0,0,19900,0,0,19900,0,0,1,0
1443485,State2,2,Female,0,2,0,0,14800,0,0,14800,0,0,1,0
2340520,State2,2,Male,0,1,0,1,24400,0,0,24400,0,0,1,0
697949,State2,2,Male,0,1,0,1,30400,0,0,30400,0,0,1,0
385031,State2,2,Male,0,1,0,1,30300,0,0,30300,0,0,1,0
1944258,State2,2,Female,0,2,0,0,34300,0,18000,16300,0,0,1,0
2029521,State2,2,Female,0,2,0,0,14900,0,0,14900,0,0,1,0
1429192,State2,2,Male,0,1,0,0,16300,0,0,16300,0,0,1,0
892851,State2,2,Male,0,1,0,1,25000,0,0,25000,0,0,1,0
1554976,State2,2,Male,0,1,0,2,27500,0,0,27500,0,0,2,69
1154228,State2,2,Male,0,1,1,0,18200,0,0,18200,0,0,1,0
816582,State2,2,Male,0,1,0,1,40200,0,40200,0,0,0,2,940
675948,State2,2,Female,0,2,0,1,74600,0,0,74600,0,0,1,0
965940,State2,2,Male,0,1,0,0,42700,42700,0,0,0,0,1,0
2636314,State2,2,Male,0,1,0,0,14900,0,14900,0,0,0,1,0
577344,State2,2,Female,0,2,0,0,58700,0,24500,34200,0,0,2,21
910781,State2,2,Male,0,1,0,1,16000,0,16000,0,0,0,1,0
541107,State2,2,Female,0,2,0,1,17800,0,0,17800,0,0,1,0
1860112,State2,2,Male,0,1,0,0,26800,0,0,26800,0,0,1,0
1016762,State2,2,Male,1,1,0,1,14000,0,0,14000,0,0,1,0
2029821,State2,2,Male,0,1,0,0,31800,0,0,31800,0,0,1,0
765206,State2,2,Male,0,1,0,0,16000,0,0,16000,0,0,1,0
2174694,State2,2,Male,0,1,0,1,37600,0,0,37600,0,0,1,0
1196869,State2,2,Female,0,2,0,1,32800,0,16700,16100,0,0,1,0
1198809,State2,2,Female,0,2,0,1,176600,0,176600,0,0,1,1,0
866161,State2,2,Male,0,1,0,0,16200,0,16200,0,0,0,1,0
1223897,State2,2,Male,0,1,0,0,102000,0,18100,83900,0,0,3,678
2427881,State2,2,Male,0,1,0,1,56800,0,56800,0,0,0,1,0
2462004,State2,2,Male,0,1,0,1,14700,0,0,14700,0,0,1,0
705121,State2,2,Male,0,1,0,0,14800,0,0,14800,0,0,1,0
803326,State2,2,Male,0,1,0,0,2500,0,2500,0,0,0,1,0
368042,State2,2,Male,0,1,0,1,23600,0,0,23600,0,0,1,0
2122322,State2,2,Male,0,1,0,1,38100,0,0,38100,0,0,1,0
639123,State2,2,Male,0,1,0,2,82300,82300,0,0,0,0,2,10
890633,State2,2,Male,0,1,0,2,62900,0,0,62900,0,0,3,144
779621,State2,2,Male,0,1,0,0,5000,0,0,5000,0,0,1,0
457806,State2,2,Male,0,1,0,0,16100,0,0,16100,0,0,1,0
2550998,State2,2,Male,0,1,0,0,40900,40900,0,0,0,0,1,0
832285,State2,2,Male,0,1,0,0,14600,0,0,14600,0,0,1,0
608398,State2,2,Male,0,1,0,0,28600,0,28600,0,0,0,1,0
1767627,State2,2,Male,0,1,0,1,12300,0,0,12300,0,0,1,0
