regionSeg1,productSeg1,productSeg2,regionSeg2,regionSeg3,productSeg3,yearweek,year,week,qty
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201306,2013,6,5
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201307,2013,7,8
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201308,2013,8,7
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201309,2013,9,1
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201310,2013,10,1
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201311,2013,11,1
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201312,2013,12,1
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201313,2013,13,2
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201314,2013,14,1
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201315,2013,15,6
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201316,2013,16,5
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201317,2013,17,2
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201318,2013,18,1
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201319,2013,19,3
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201320,2013,20,2
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201321,2013,21,6
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201322,2013,22,2
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201323,2013,23,5
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201324,2013,24,3
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201325,2013,25,1
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201326,2013,26,1
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201327,2013,27,3
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201328,2013,28,1
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201330,2013,30,1
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201332,2013,32,3
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201333,2013,33,4
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201334,2013,34,1
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201335,2013,35,2
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201336,2013,36,4
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201338,2013,38,1
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201340,2013,40,4
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201341,2013,41,2
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201342,2013,42,8
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201343,2013,43,2
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201344,2013,44,3
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201345,2013,45,8
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201346,2013,46,5
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201347,2013,47,10
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201348,2013,48,18
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201349,2013,49,11
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201350,2013,50,3
A01,,PG05,SALESID0001,SITEID0004,ITEM0445,201351,2013,51,2
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201306,2013,6,4
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201307,2013,7,5
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201308,2013,8,6
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201309,2013,9,3
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201310,2013,10,5
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201312,2013,12,1
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201313,2013,13,1
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201314,2013,14,5
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201315,2013,15,6
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201316,2013,16,6
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201317,2013,17,2
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201318,2013,18,1
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201319,2013,19,1
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201320,2013,20,3
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201321,2013,21,5
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201322,2013,22,1
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201323,2013,23,2
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201324,2013,24,2
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201325,2013,25,5
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201328,2013,28,1
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201329,2013,29,3
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201332,2013,32,1
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201334,2013,34,1
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201335,2013,35,1
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201337,2013,37,2
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201340,2013,40,3
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201341,2013,41,2
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201342,2013,42,2
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201345,2013,45,7
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201346,2013,46,7
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201347,2013,47,8
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201348,2013,48,15
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201349,2013,49,4
A01,,PG05,SALESID0001,SITEID0003,ITEM0445,201350,2013,50,1
A01,,PG05,SALESID0001,SITEID0002,ITEM0445,201302,2013,2,1
A01,,PG05,SALESID0001,SITEID0002,ITEM0445,201305,2013,5,2
A01,,PG05,SALESID0001,SITEID0002,ITEM0445,201306,2013,6,2
A01,,PG05,SALESID0001,SITEID0002,ITEM0445,201307,2013,7,4
A01,,PG05,SALESID0001,SITEID0002,ITEM0445,201308,2013,8,8
A01,,PG05,SALESID0001,SITEID0002,ITEM0445,201309,2013,9,2
A01,,PG05,SALESID0001,SITEID0002,ITEM0445,201311,2013,11,1
