CONTINENT,REGIONID,PRODUCTGROUP,PRODUCT,YEARWEEK,QTY
N05,A60,PG01,PRODUCT04,201402,71
N05,A60,PG03,PRODUCT59,201402,22275
N05,A60,PG02,PRODUCT34,201402,4463
N05,A60,PG03,PRODUCT47,201402,0
N05,A60,PG03,PRODUCT56,201402,23
N05,A60,PG03,PRODUCT57,201402,14
N05,A60,PG01,PRODUCT12,201402,1186
N05,A60,PG01,PRODUCT01,201402,7
N05,A60,PG02,PRODUCT33,201402,101
N05,A60,PG03,PRODUCT62,201402,336
N03,A37,PG03,PRODUCT58,201402,0
N03,A37,PG03,PRODUCT59,201402,11492
N03,A37,PG02,PRODUCT34,201402,825
N03,A31,PG03,PRODUCT58,201402,0
N03,A31,PG03,PRODUCT59,201402,560
N03,A31,PG02,PRODUCT34,201402,103
N01,A04,PG03,PRODUCT58,201402,0
N01,A04,PG04,PRODUCT63,201402,740
N01,A04,PG01,PRODUCT15,201402,394
N01,A04,PG01,PRODUCT04,201402,2550
N01,A04,PG01,PRODUCT16,201402,4
N01,A04,PG03,PRODUCT59,201402,36549
N01,A04,PG02,PRODUCT34,201402,4773
N01,A04,PG02,PRODUCT40,201402,146
N01,A04,PG03,PRODUCT47,201402,5
N01,A04,PG03,PRODUCT60,201402,9
N01,A04,PG03,PRODUCT56,201402,109
N01,A04,PG03,PRODUCT57,201402,1195
N01,A04,PG01,PRODUCT12,201402,15028
N01,A04,PG01,PRODUCT01,201402,1319
N01,A04,PG02,PRODUCT33,201402,786
N01,A04,PG01,PRODUCT14,201402,97
N01,A04,PG03,PRODUCT62,201402,695
N01,A04,PG02,PRODUCT17,201402,3
N01,A05,PG01,PRODUCT02,201402,0
N01,A05,PG03,PRODUCT58,201402,0
N01,A05,PG04,PRODUCT63,201402,484
N01,A05,PG01,PRODUCT15,201402,657
N01,A05,PG01,PRODUCT04,201402,1191
N01,A05,PG01,PRODUCT16,201402,385
N01,A05,PG03,PRODUCT59,201402,21679
N01,A05,PG02,PRODUCT34,201402,879
N01,A05,PG02,PRODUCT40,201402,203
N01,A05,PG03,PRODUCT47,201402,75
N01,A05,PG03,PRODUCT60,201402,1173
N01,A05,PG03,PRODUCT56,201402,1235
N01,A05,PG03,PRODUCT57,201402,156
